time phi1_2 psi1_2 phi2_3 psi2_3 phi3_4 psi3_4 omega3_4
0.0 -1.416797 1.637354 -1.56655 1.936671 1.043173 2.944881 -2.992837
10.0 -1.683294 1.325929 -1.212601 2.01117 1.102194 2.884835 2.913983
20.0 -1.146968 1.975814 -1.464297 1.740266 1.00098 3.03338 -3.139074
30.0 -1.676436 1.545681 -1.4662 1.812251 0.917557 1.05353 3.121743
40.0 -1.738997 1.37839 -2.135608 1.644034 0.842546 1.129296 -3.118148
50.0 -1.825907 1.182355 -1.238826 1.587471 1.097365 2.681975 3.100344
60.0 -1.45101 1.308431 -1.363488 1.919318 1.067084 2.639722 2.886489
70.0 -1.845532 1.43414 -1.352039 1.652162 1.102308 2.937903 -2.936818
80.0 -1.563432 1.666635 -1.412458 2.025255 1.126469 2.987037 3.103178
90.0 -1.215565 1.96296 -1.447001 1.926489 1.531912 -3.006982 3.007987
100.0 -1.05624 2.007179 -1.34403 2.093592 1.068081 -3.133644 3.023567
110.0 -1.653468 1.58359 -1.297409 1.844394 1.145901 2.633724 -3.119185
120.0 -1.527049 1.809754 -1.323465 1.904146 1.163455 2.926292 3.101284
130.0 -1.137589 1.734455 -1.649654 1.704822 1.128046 2.681161 -3.046614
140.0 -1.287871 2.015958 -1.53368 1.850515 1.291481 2.939844 -3.093211
150.0 -1.168212 1.28418 -1.194042 1.569796 1.226572 2.782659 -3.0217
160.0 -1.73151 1.658497 -1.04157 1.856706 1.024029 2.745992 3.121527
170.0 -1.317496 2.389098 -1.308126 1.938427 1.146702 -2.942706 2.98409
180.0 -1.931099 1.645462 -1.336865 2.06357 0.802233 2.86699 -2.940247
190.0 -1.388766 2.3526 -1.524153 1.863225 1.24266 3.060762 3.099205
200.0 -0.873072 1.845644 -1.314029 1.835273 1.078397 3.099388 -3.09917
210.0 -1.263748 1.871496 -1.173685 2.001709 1.094845 -2.962975 2.978379
220.0 -1.092028 1.926818 -1.589412 1.900624 1.34792 3.036139 3.082218
230.0 -1.34612 1.893754 -1.371905 1.640016 1.232589 2.875816 -3.04504
240.0 -1.056216 2.047472 -1.361213 1.794916 0.965691 2.813443 -3.102425
250.0 -1.672668 1.214394 -1.394017 1.941458 0.97807 -2.99556 3.058195
260.0 -1.2678 1.80374 -1.864882 1.565511 1.152053 1.427518 0.836296
270.0 -1.212609 1.949768 -1.384797 1.832683 1.017232 2.854458 3.116305
280.0 -1.175003 2.304225 -1.380806 1.647084 1.020874 2.767958 -2.911881
290.0 -1.380907 2.155363 -1.177121 1.953098 1.029962 3.053282 3.101178
300.0 -1.412131 1.551508 -1.645904 1.135001 1.211933 2.910501 3.066343
310.0 -1.316671 2.166401 -1.226613 1.930534 1.047811 3.08171 3.017781
320.0 -1.708146 1.60582 -0.990219 -0.430526 0.967787 2.540959 -1.120006
330.0 -1.212685 1.850292 -1.051637 2.05802 1.051893 2.817882 -3.038356
340.0 -1.251848 1.957039 -1.098923 1.906659 1.098595 2.830424 2.961974
350.0 -1.512741 1.425571 -1.32769 1.682316 0.960137 3.023868 -2.910533
360.0 -1.15827 1.938762 -1.03605 1.834929 1.251151 1.389687 2.994934
370.0 -1.604674 1.409525 -1.215411 2.169068 1.083983 2.831936 2.863892
380.0 -1.326315 -1.495541 -1.188744 2.321548 1.645961 1.360033 2.896689
390.0 -1.6555 -1.20875 -1.467317 2.064641 1.018736 0.996452 2.957103
400.0 -1.557114 -1.430272 -1.524473 2.055018 1.101899 0.957131 3.010568
410.0 -1.346761 2.06334 -1.53481 1.719927 1.057663 2.985734 1.041089
420.0 -1.358004 1.957513 -1.413303 1.564592 1.212675 2.742225 0.947976
430.0 -1.124289 2.116778 -1.42792 1.239487 1.051832 3.041033 1.007865
440.0 -1.479466 1.973668 -1.391408 2.212069 1.209333 3.003342 3.066886
450.0 -1.546546 1.561385 -1.182337 1.933699 1.198673 3.119252 0.964846
460.0 -1.260525 2.173793 -1.137097 1.981156 1.128106 3.128807 3.013958
470.0 -1.138933 1.924434 -1.266117 2.066311 1.296984 3.028242 3.091649
480.0 -1.548644 1.689565 -1.310243 1.921365 0.988401 2.99676 2.898832
490.0 -1.142945 2.201304 -1.563469 1.645084 1.322797 1.634645 1.066797
500.0 -1.354173 2.294909 -1.426231 2.004294 1.216783 3.073991 1.169717
510.0 -1.187613 1.8705 -1.31498 2.038877 1.138382 1.505099 0.975227
520.0 -1.179404 1.896299 -1.286367 1.829545 1.465738 3.000907 3.002131
530.0 -1.085535 2.084161 -1.020509 2.030297 1.407312 2.870857 0.950552
540.0 -1.342213 2.188432 -1.35553 2.069087 1.065613 -2.960906 1.209094
550.0 -1.359994 2.063174 -1.532447 1.834473 1.358654 -2.843181 0.919723
560.0 -1.566727 1.598178 -1.231836 2.12759 1.274755 2.920379 0.884271
570.0 -1.597235 1.514748 -1.304807 2.076587 1.350471 2.704379 1.378857
580.0 -1.795385 1.307801 -1.325195 1.846599 1.352511 3.12048 0.927044
590.0 -1.536202 1.426001 -1.147862 1.962692 1.161619 2.880776 1.18555
600.0 -1.503509 1.67584 -0.950862 1.655999 1.108682 -3.101827 1.165666
610.0 -1.214515 1.80445 -1.684891 1.490972 1.93531 2.977271 0.897424
620.0 -1.363822 2.101508 -1.367101 1.715941 1.237082 -3.10229 3.113277
630.0 -1.477748 2.227266 -1.462164 1.926173 1.11707 3.103449 2.741197
640.0 -1.470639 2.029197 -1.63479 1.770132 1.051992 2.814673 3.109021
650.0 -1.012714 2.168692 -1.305539 1.700769 1.05133 -3.131077 3.121552
660.0 -1.157451 1.718315 -1.378239 2.100788 1.36397 -3.01561 0.834446
670.0 -1.226038 2.188563 -1.236858 1.734172 1.130003 3.100765 0.958716
680.0 -1.236008 2.040432 -1.29863 1.902876 1.21912 3.063824 0.917501
690.0 -1.372742 2.154852 -1.377335 2.411776 1.226984 -2.995839 1.179978
700.0 -1.245933 2.298523 -1.346384 2.311375 0.967852 -3.106785 1.269671
710.0 -1.273017 2.300338 -1.777899 1.192793 1.389517 -3.084456 3.094102
720.0 -1.213095 2.088825 -1.338094 2.074108 0.908272 -3.06424 1.353851
730.0 -1.789785 -1.092661 -1.547469 1.650143 1.425933 -3.106546 0.999419
740.0 -0.914272 -0.431802 -1.204289 2.143059 1.008662 3.071214 3.059642
750.0 -1.159748 -0.099848 -1.00258 1.810932 1.270981 2.83807 3.108787
760.0 -0.973052 -0.387259 -1.237526 1.836246 1.119726 3.127204 3.139325
770.0 -1.266906 1.912499 -1.263609 2.186422 1.432206 -2.883582 1.054055
780.0 -1.299254 -1.427712 -1.064097 2.121869 1.30293 -3.084458 0.906868
790.0 -1.479629 -1.280671 -1.237818 1.978128 1.170448 -3.116264 1.142488
800.0 -1.642932 -1.291367 -1.058102 1.886933 1.198442 -3.118767 0.965635
810.0 -1.404428 1.635367 -1.545745 1.792358 0.941218 2.811943 1.036831
820.0 -1.43162 1.793249 -1.259404 2.082329 1.39402 3.136733 1.024891
830.0 -1.616175 1.959464 -1.424652 2.419993 1.18191 2.907999 0.976026
840.0 -1.702189 1.327715 -1.459465 1.761474 1.105081 2.986268 3.008349
850.0 -1.201988 1.944098 -1.272568 2.000082 1.485478 3.056694 0.847411
860.0 -1.448044 2.18723 -1.296128 2.150094 1.3526 -3.006566 0.747071
870.0 -1.288084 2.219943 -1.307351 2.366193 1.19597 2.82807 1.142605
880.0 -1.594615 1.299203 -1.417485 1.838102 1.29942 3.10236 3.11446
890.0 -1.658221 1.202033 -1.251873 1.997434 1.117894 -2.903298 3.052153
900.0 -1.55528 1.692438 -1.310722 2.036607 1.036423 3.06417 -3.071667
910.0 -1.265911 1.861726 -1.147385 1.93025 1.364203 -3.105837 1.174401
920.0 -1.365106 1.845354 -1.310094 1.922505 0.952645 3.031428 0.82302
930.0 -1.473401 1.595137 -1.638007 2.235679 1.053126 2.565436 0.778235
940.0 -1.30446 2.266246 -1.083675 1.764892 1.078735 2.91763 1.009597
950.0 -1.261941 1.920578 -1.033086 1.980744 1.494498 2.503925 0.974372
960.0 -1.226716 1.844311 -1.376672 1.93378 1.122764 2.701369 -2.936435
970.0 -1.058822 1.993056 -1.511819 1.458358 1.177539 2.789819 1.031235
980.0 -1.046604 2.030861 -1.320567 2.114036 1.20225 2.950349 3.10172
990.0 -1.278017 1.364704 -1.307631 1.989223 1.054073 -2.91537 3.066583
1000.0 -0.084336 1.731378 -1.644748 1.701555 1.424452 -2.955618 0.859898
1010.0 -1.561601 1.833513 -1.532673 1.144209 1.208233 2.735358 3.080655
1020.0 -1.250766 2.013034 -1.568282 1.492895 1.166292 -2.913313 3.134091
1030.0 -1.155834 1.981834 -0.946424 1.968447 1.45064 3.091556 0.737193
1040.0 -1.111496 1.855585 -1.167033 2.102168 1.202309 -2.976842 0.850265
1050.0 -0.815885 2.060572 -1.340089 1.961652 1.223566 -3.139249 0.674909
1060.0 -1.210649 1.981664 -1.463016 2.102727 1.340365 2.893882 0.956372
1070.0 -1.491744 1.970491 -1.148221 2.374711 1.304139 3.086673 0.939985
1080.0 -1.378432 1.957505 -1.283558 1.914023 1.404554 -3.009677 1.415851
1090.0 -1.457818 1.868336 -1.468525 1.670699 0.985788 -2.83707 0.741743
1100.0 -1.390343 2.119614 -1.677872 1.595629 1.148448 2.867845 0.794976
1110.0 -1.604912 1.073484 -1.248985 1.938025 1.029963 -3.086159 3.089666
1120.0 -1.680067 1.315655 -1.38562 1.927554 0.883605 2.987938 3.141133
1130.0 -1.164382 1.812114 -1.393435 1.307371 1.128199 -3.053737 -2.992369
1140.0 -1.225866 2.178667 -1.175715 2.053599 1.491704 1.831565 1.206334
1150.0 -0.857423 2.036867 -0.124551 2.562495 1.133475 -3.030054 1.042278
1160.0 -1.415732 2.027651 -1.759447 1.449895 1.379839 1.626416 -2.990398
1170.0 -1.033089 1.88519 -1.182273 2.035616 1.01498 2.681331 0.801882
1180.0 -1.564809 1.779302 -1.193166 1.906904 1.061012 -2.982498 0.988378
1190.0 -1.133207 1.796922 -1.162383 1.964087 1.473003 2.999247 0.848559
1200.0 -1.232195 2.101799 -1.614962 1.760198 1.10552 2.944599 1.116529
1210.0 -1.391748 1.892783 -1.115729 1.764716 1.470972 -2.998267 1.026986
1220.0 -1.540104 1.613188 -1.133036 2.276894 1.207736 2.995309 1.060308
1230.0 -1.471927 1.422976 -1.530842 1.53806 1.266277 3.127782 0.952216
1240.0 -0.74971 1.911311 -1.087059 1.904634 1.090039 -3.120867 2.937999
1250.0 -1.161175 1.672602 -1.487305 1.617586 1.159035 -2.972452 1.151845
1260.0 -1.591826 0.814191 -1.26449 1.928283 1.210048 -3.124273 0.766903
1270.0 -1.813059 1.284765 -1.496356 1.155322 1.139313 2.757839 1.10296
1280.0 -1.23759 1.891208 -1.303 2.316612 1.204532 -2.899529 -3.10574
1290.0 -1.288015 2.047337 -1.669858 0.960886 1.150466 -3.140656 1.108518
1300.0 -1.381383 2.362253 -1.334493 1.802611 1.309093 3.130516 -3.017688
1310.0 -1.874554 1.081153 -1.223603 1.971554 1.180839 3.093397 0.84175
1320.0 -1.580413 1.967194 -1.318547 2.096942 1.268068 -3.105501 2.95532
1330.0 -1.544693 1.457017 -1.38055 2.06566 1.062751 -2.845684 2.978186
1340.0 -1.014785 2.049911 -1.628638 1.616991 1.235503 1.377871 -3.097477
1350.0 -1.255418 2.085424 -0.930901 2.232196 1.319241 -2.751368 0.872365
1360.0 -1.581277 1.570432 -1.464409 2.048446 1.249519 -3.08045 2.996665
1370.0 -1.544618 1.902852 -1.191909 2.045579 1.410623 2.924907 0.891919
1380.0 -1.07406 1.996057 -1.647234 2.427951 1.344565 2.748989 0.776911
1390.0 -0.86321 2.089839 -1.389284 1.842776 1.490191 2.799967 0.688768
1400.0 -1.244927 1.777476 -1.471369 2.16836 1.049863 -2.884336 2.975933
1410.0 -1.423543 1.691486 -1.225683 2.084296 1.291137 -2.969006 2.848419
1420.0 -1.208734 2.142531 -1.700157 1.960538 1.070508 3.041154 0.827662
1430.0 -1.144293 1.985991 -1.0056 2.028995 1.340239 -2.925435 1.209246
1440.0 -1.200651 1.921086 1.092611 2.075246 0.804835 -3.014282 0.919601
1450.0 -1.210086 1.692373 -1.379092 2.041807 1.140586 3.010224 0.969665
1460.0 -1.371833 1.32271 -1.342227 2.036863 1.294596 -3.053677 1.003545
1470.0 -1.16156 2.085602 0.935449 2.095458 1.1635 -3.028339 1.151045
1480.0 -0.902436 1.889462 -1.279969 2.078261 1.099774 -3.137525 3.105067
1490.0 -1.921517 1.385799 -1.311737 1.816107 1.154337 -3.096055 0.886414
1500.0 -1.07419 1.763311 -1.487391 1.619357 1.0749 2.483141 -3.035082
1510.0 -1.285017 -1.081318 -1.011865 2.159075 1.319809 -2.973759 1.289474
1520.0 -1.372011 1.850947 0.922983 2.182843 1.719365 -2.79704 1.052218
1530.0 -1.040399 -0.649677 -1.435678 2.124308 1.234352 2.563018 0.721803
1540.0 -0.923867 -0.678289 -0.890035 1.864861 1.012154 2.695258 1.071537
1550.0 -1.415073 1.296165 -1.433522 1.590699 1.031122 -2.947694 0.849379
1560.0 -1.119447 2.179434 -1.930912 1.370748 0.803682 2.880651 3.133243
1570.0 -1.865697 1.143741 -1.693816 1.753938 1.145856 -3.071007 1.069234
1580.0 -1.419944 1.828323 -1.498387 1.27895 1.39751 -3.002333 0.963655
1590.0 -0.95115 -0.828486 -1.23945 2.171596 1.357827 -2.927916 0.988423
1600.0 -0.750393 -0.655773 -1.501833 2.103722 1.118084 -2.879881 1.098036
1610.0 -1.641126 1.009 -1.253382 1.92041 1.171804 -2.983291 1.239567
1620.0 -1.76682 0.948465 -1.315479 1.618984 0.984033 3.038703 0.939546
1630.0 -1.481742 -0.390112 -1.08012 1.844063 1.064934 3.006964 0.917382
1640.0 -1.267234 -0.567974 -1.139208 1.970377 1.14881 -2.901468 1.09131
1650.0 -1.006247 2.093203 -1.214872 2.141257 1.493928 1.336679 -3.141115
1660.0 -1.322239 2.089787 -1.013516 1.929909 1.252486 1.303545 2.838318
1670.0 -1.129184 -0.554021 -0.50227 1.79154 1.269771 2.60513 1.030754
1680.0 -1.636886 1.646476 -1.180024 2.011825 1.366873 1.31933 2.762419
1690.0 -1.167168 1.904122 -1.519732 1.61994 1.13425 1.262273 3.080853
1700.0 -1.582291 1.512737 -1.448676 2.192524 1.848678 1.360152 -3.05627
1710.0 -1.445411 1.789016 -1.012276 2.247711 1.01526 0.843665 2.995268
1720.0 -0.95034 1.860123 -0.646353 2.461876 0.944389 -3.054647 0.858235
1730.0 -1.040641 -0.629948 -1.061612 2.243828 1.227778 2.999618 0.634782
