time phi1_2 psi1_2 phi2_3 psi2_3 phi2_4 psi2_4
0.0 -1.293358 -0.594922 0.996039 -3.123156 -1.16733 2.265046
10.0 -1.193042 -0.811148 1.030164 3.076388 -1.233763 2.379065
20.0 -1.368621 -0.741495 1.081542 3.097553 -1.181247 2.310086
30.0 -1.298212 -1.012219 1.027094 3.054786 -1.155005 2.526362
40.0 -1.163495 -0.617119 0.728078 3.037802 -1.241829 2.638812
50.0 -1.202157 -0.729394 0.976862 -3.092106 -1.119977 2.412381
60.0 -1.12762 -0.735034 1.238027 2.863935 -1.419765 2.294412
70.0 -1.180197 -0.811832 0.873063 -3.014323 -1.257434 2.483973
80.0 -0.778581 -0.665514 0.830344 -2.930832 -1.209854 2.584373
90.0 -1.034613 -0.397542 1.314387 3.094938 -1.338617 2.379498
100.0 -0.833312 -0.47422 0.73534 -2.943186 -1.295475 2.788881
110.0 -0.620526 -0.584974 0.843957 3.109372 -1.182118 2.496832
120.0 -1.029974 -0.668433 1.183057 2.967301 -1.271459 2.257947
130.0 -1.1156 -0.885905 0.978854 -2.912356 -1.328698 2.367698
140.0 -1.173397 -0.509349 0.93073 3.127624 -1.176964 2.414672
150.0 -1.354135 -0.752448 1.114001 -2.91055 -1.202059 2.238644
160.0 -1.558614 -1.28176 1.155652 -2.983831 -1.084874 2.581733
170.0 -0.895991 -0.651756 1.190858 3.027663 -1.179157 2.241114
180.0 -1.052337 -0.607078 0.934967 2.137859 -1.255132 2.332333
190.0 -0.97965 -0.554781 1.101478 3.043126 -1.1478 2.233793
200.0 -1.003433 -0.850516 0.903082 -2.782551 -1.05892 2.139837
210.0 -1.378836 -0.745019 0.886319 -2.975689 -1.297596 2.320354
220.0 -0.731384 -0.755791 0.82044 -2.990029 -1.281003 2.361428
230.0 -1.144829 -0.340791 0.847635 -3.124534 -1.396246 2.598297
240.0 -1.093393 -0.42216 0.85473 -2.957952 -1.165751 2.942798
250.0 -1.292413 2.352146 0.914797 2.862442 -2.010453 1.865804
260.0 -1.255902 -0.784975 0.905724 -2.901325 -1.008173 2.187243
270.0 -1.111908 -0.602104 1.069944 -3.034792 -1.326244 2.408116
280.0 -1.255485 -0.747598 1.003477 3.120681 -1.436911 2.374014
290.0 -0.960194 -0.686732 0.993064 -3.015067 -1.136943 2.157718
300.0 -0.912126 -0.504236 0.73693 -2.943577 -1.191562 2.405998
310.0 -0.932969 -0.796744 0.950213 3.122561 -1.28784 2.291613
320.0 -1.009037 -0.560953 1.250429 2.966588 -1.198014 2.311287
330.0 -0.927346 -0.342633 0.906986 -3.119007 -1.242019 2.567042
340.0 -1.608675 0.562361 0.904484 -2.728166 -1.592364 1.425408
350.0 -1.394296 0.020494 0.96564 -3.036199 -1.186979 2.361083
360.0 -0.851608 -0.643447 0.964235 3.07949 -1.199105 2.427434
370.0 -1.406503 0.754184 1.094182 -3.021546 -1.696756 1.408316
380.0 -0.876413 -0.683737 0.745302 3.131665 -1.268554 2.227478
390.0 -1.344975 -0.361415 0.595473 -3.119942 -1.200097 2.433783
400.0 -0.926439 -0.520358 0.866475 3.125889 -1.339458 2.463681
410.0 -0.796559 -0.519849 1.028833 3.052952 -1.346454 2.329006
420.0 -1.41241 -1.272526 1.333045 3.070736 -0.955774 2.665289
430.0 -0.946232 -0.734888 0.868401 3.087007 -1.232895 2.608893
440.0 -0.964269 -0.531529 1.045087 -3.112534 -1.234391 2.409837
450.0 -1.141214 -0.215346 1.007607 3.095645 -1.215272 2.190287
460.0 -1.078106 -0.409205 1.248919 3.003829 -1.328056 2.417848
470.0 -1.221685 -0.471804 1.190429 2.902731 -1.398586 2.374654
480.0 -1.115325 -0.802179 0.855468 -3.075128 -1.288355 2.553546
490.0 -1.012689 -0.768257 0.999615 -2.997874 -1.362847 2.397803
500.0 -1.39072 -1.053997 1.052991 3.073659 -1.154207 2.716213
510.0 -1.071149 -0.634281 0.790544 -3.047095 -1.409863 2.269962
520.0 -1.29412 -0.317263 0.916087 3.121172 -1.298814 2.482169
530.0 -1.461225 -0.865535 1.155354 3.05086 -1.156728 2.337825
540.0 -1.235742 2.432735 0.853814 3.092652 -1.379637 2.626509
550.0 -1.284017 -0.995 1.132117 2.982613 -1.281994 2.155177
560.0 -1.462436 -1.074584 0.830962 -2.895582 -1.261275 2.377127
570.0 -1.007903 -0.774741 0.992013 -3.064027 -1.146945 2.393085
580.0 -1.370643 -0.942889 0.605802 -2.861744 -1.23041 2.409605
590.0 -1.276713 2.087924 1.072647 3.091624 -1.110686 2.335973
600.0 -1.422342 -1.311649 0.996711 -3.024657 -1.36144 2.448725
610.0 -0.914075 -0.674679 1.156176 3.072788 -1.203069 2.505843
620.0 -0.987925 2.193696 1.029675 -3.104252 -1.403166 2.710239
630.0 -1.340814 2.288364 1.089307 3.03591 -0.676941 2.596777
640.0 -1.302591 -0.484246 1.116508 -2.88451 -1.308381 2.476461
650.0 -1.250701 -0.461379 1.067187 3.07934 -1.287704 2.256084
660.0 -1.27642 2.226856 2.010539 -3.010632 -2.41646 1.559172
670.0 -1.054756 2.077928 1.145802 3.066238 -1.008397 2.634053
680.0 -1.089286 -0.914627 0.884288 -3.00851 -1.130755 2.415553
690.0 -1.417546 -0.908228 0.898765 -2.899707 -1.177075 2.319964
700.0 -1.119546 -1.189589 0.780664 -2.974851 -1.177194 2.434124
710.0 -1.043594 -0.808818 1.004086 -3.003819 -1.153378 2.511133
720.0 -1.420673 -1.101029 1.110328 -2.853036 -0.868596 2.37054
730.0 -0.931508 1.891291 1.049905 -3.019956 -1.202084 2.585046
740.0 -1.503233 -1.29734 1.34316 -2.845672 -0.878244 2.420264
750.0 -0.934545 -0.652987 0.998325 3.024986 -1.422311 2.174476
760.0 -1.709915 -1.111196 0.874764 2.950638 -0.967804 2.459474
770.0 -1.464773 -1.223697 0.77222 -3.097769 -1.251225 2.536275
780.0 -1.404411 -1.385075 1.189869 3.093001 -1.228383 2.418983
790.0 -0.984503 1.873199 1.320587 -3.065841 -1.161029 2.492488
800.0 -1.375738 2.224883 0.987776 -3.122458 -1.316317 2.458712
810.0 -1.29457 2.128301 1.160574 -3.037858 -1.323847 2.427062
820.0 -1.203848 -0.707448 0.941361 -3.096083 -1.196102 2.273745
830.0 -0.740757 -0.637967 0.899336 2.985021 -1.274585 2.448274
840.0 -1.263022 -0.960552 1.029678 -3.021701 -1.241927 2.349954
850.0 -0.718229 -0.710183 1.146367 2.940221 -1.435125 2.529519
860.0 -1.1465 -1.097528 0.923849 2.997776 -1.313012 2.418184
870.0 -1.158617 -0.897672 0.876664 -2.917945 -1.170627 2.424873
880.0 -1.379871 -1.288976 0.911573 -3.026316 -1.191009 2.640645
890.0 -1.102549 -0.645966 0.827364 -2.933548 -1.324252 2.267098
900.0 -1.43864 -0.949212 0.741834 -2.753046 -1.175249 2.686278
910.0 -0.971821 2.168012 1.297035 -2.529816 -1.365619 2.15167
920.0 -0.682431 -0.875702 1.053997 -3.111082 -1.170182 2.281216
930.0 -1.482127 -0.231688 1.142744 3.004734 -1.050563 2.457949
940.0 -0.896396 -0.677001 1.209819 3.060512 -1.020799 2.325202
950.0 -0.8627 -0.54518 1.051333 2.944401 -1.210836 2.034282
960.0 -1.462937 -0.82118 0.688173 -2.866139 -1.134701 2.287504
970.0 -1.462694 -1.237374 0.977359 -3.06919 -1.158433 2.35283
980.0 -1.014024 -0.689186 0.943525 3.049329 -1.427784 2.664433
990.0 -0.856346 -0.615614 1.081649 3.015841 -1.4894 2.573824
1000.0 -1.104474 -0.481196 1.274942 -3.015906 -1.568021 1.954286
1010.0 -1.098945 -0.646106 0.949806 3.116842 -0.97088 2.104953
1020.0 -1.008777 -0.524464 0.7406 -3.065947 -1.136711 2.310619
1030.0 -0.821585 -0.683581 1.173922 2.990648 -1.360782 2.184945
1040.0 -1.082529 -0.567381 1.078385 -3.08805 -1.292759 2.31393
1050.0 -1.070401 -1.031383 1.166824 -3.109936 -1.059438 2.319151
1060.0 -1.110947 -0.543145 0.661372 -2.930189 -1.196511 2.207438
1070.0 -1.446271 -0.773707 0.871967 -3.055006 -1.309692 2.429025
1080.0 -1.111167 -0.707918 0.91082 3.115521 -1.246484 2.318245
1090.0 -1.019479 -0.554727 1.083332 -3.084602 -1.200859 2.404303
1100.0 -0.927602 -0.468242 0.994843 2.93769 -1.197538 2.441893
1110.0 -1.188668 -0.56206 1.060732 -3.05157 -1.308868 2.247363
1120.0 -1.274936 -1.141627 0.752411 -2.923772 -1.096783 2.492421
1130.0 -1.104979 2.333692 1.182708 2.92222 -1.301445 2.230074
1140.0 -1.042289 -0.757805 0.856404 -3.019002 -1.178565 2.343764
1150.0 -1.225195 -0.329272 0.774492 -3.070489 -1.47937 2.434404
1160.0 -1.067239 -0.613345 0.719393 -3.022822 -1.205719 2.484251
1170.0 -1.082406 -0.669786 0.896317 -2.934228 -1.39727 2.410957
1180.0 -1.297012 1.98318 0.871113 -3.092755 -1.323053 2.330514
1190.0 -1.144054 -0.86319 0.940486 3.072563 -1.137542 2.372548
1200.0 -0.934623 -0.781049 0.834117 3.122309 -1.272373 2.373282
1210.0 -1.132854 -0.761304 1.033957 -3.088934 -1.182123 2.684763
1220.0 -1.016473 2.088395 0.747486 -3.016745 -1.231093 2.313891
1230.0 -1.030832 -0.565822 1.103778 -2.826595 -1.021713 2.369066
1240.0 -1.325027 -0.919283 0.950724 -2.907067 -1.115734 2.552467
1250.0 -1.340771 -1.0629 0.924509 -3.031097 -1.15291 2.379462
1260.0 -1.486655 -1.202775 0.905012 -3.023788 -1.059335 2.495075
1270.0 -1.211972 1.942072 0.895721 -2.904662 -1.128206 2.570652
1280.0 -1.120144 -0.792129 1.073555 -2.974754 -1.112584 2.341515
1290.0 -1.130999 -0.324671 1.033884 3.062637 -1.20317 2.310656
1300.0 -1.412928 2.385347 1.129681 2.952078 -1.375965 2.418754
1310.0 -1.023493 -0.29338 1.002942 -2.985838 -1.148768 2.182473
1320.0 -1.354422 2.04199 1.0008 -2.456276 -1.485705 1.710231
1330.0 -1.236249 1.999435 1.067414 2.874357 -1.355139 2.457675
1340.0 -1.174195 -0.907307 1.193199 -3.080104 -1.344692 2.428262
1350.0 -1.033448 -0.314895 1.012888 3.069121 -1.358834 2.399153
1360.0 -1.088266 -0.511792 1.040111 -3.102876 -1.397586 2.452811
1370.0 -1.294458 -0.347744 1.043786 -3.128227 -0.979968 2.388585
1380.0 -1.13841 -0.262624 0.861971 -3.071784 -1.274783 2.31942
1390.0 -1.307453 2.041821 0.771212 -2.984065 -1.080467 2.400029
1400.0 -1.154821 1.958575 0.827318 -2.833871 -0.965622 2.511926
1410.0 -1.078386 -0.499548 1.028179 -2.97331 -1.096593 2.541379
1420.0 -1.374304 -0.767913 0.766917 -2.767953 -0.991232 2.234716
1430.0 -0.894045 -0.808787 1.190063 -2.917808 -0.888974 2.283388
1440.0 -1.205244 -1.215759 0.821831 -3.020478 -1.075122 2.480582
1450.0 -0.889671 -0.495647 0.833487 -2.932744 -1.025398 2.622116
1460.0 -1.072519 2.324801 1.130318 -3.083831 -1.204463 2.428019
1470.0 -0.957242 -0.750442 0.959897 -3.094783 -1.131844 2.232506
1480.0 -1.037749 -0.628933 1.268566 2.901193 -1.682308 2.684452
1490.0 -1.732792 1.534796 1.466895 -2.252851 -1.510843 1.130965
1500.0 -1.29117 -0.973594 0.905915 -3.034916 -1.203709 2.51072
1510.0 -1.198711 2.062886 0.771636 -3.023072 -1.209289 2.509493
1520.0 -1.458762 -0.816434 1.016659 -3.087834 -1.163583 2.263908
1530.0 -1.450311 -1.513144 0.925095 -3.097684 -1.133409 2.58542
1540.0 -1.594298 -1.137631 0.826778 -2.881906 -1.129105 2.520994
1550.0 -1.226334 -1.084699 0.920173 -3.091323 -1.255477 2.407154
1560.0 -1.27453 -0.780491 1.137024 3.075208 -1.256805 2.247336
1570.0 -1.08276 -0.765991 0.894186 -3.125823 -1.29143 2.355071
1580.0 -1.307805 2.257707 1.178944 3.002016 -1.352549 2.481898
1590.0 -1.113615 1.99693 1.257 2.845383 -1.118814 2.447869
1600.0 -1.028447 1.892538 0.988027 -2.901405 -1.30429 2.365171
1610.0 -1.110137 2.002678 1.246888 -2.806948 -1.521104 2.813086
1620.0 -0.886341 -0.750039 1.1096 3.056516 -1.353007 2.372423
1630.0 -1.267385 1.982205 1.117586 -3.091141 -1.162469 2.379294
1640.0 -1.326377 2.270736 0.803102 -2.962699 -1.312797 2.502803
1650.0 -0.79367 -0.589892 0.844305 -2.894316 -1.162421 2.331041
1660.0 -0.975995 -0.672598 1.070954 3.088321 -1.201803 2.429428
1670.0 -1.400786 1.991068 1.299882 -2.640248 -1.155329 1.496215
1680.0 -1.072767 -0.490729 0.779263 3.064141 -1.179036 2.358065
1690.0 -1.041882 1.81327 0.825193 -2.984643 -1.133903 2.347753
1700.0 -1.199436 -0.331372 0.972786 3.135537 -1.327445 2.313067
1710.0 -0.815158 -0.849935 0.991671 -3.076138 -1.357938 2.618709
1720.0 -1.204746 2.320318 0.801318 -3.083278 -1.32826 2.376774
1730.0 -1.098704 2.202036 0.755343 -2.951534 -1.256456 2.394195
1740.0 -0.968735 -0.851247 0.881133 -2.990519 -1.142939 2.421778
1750.0 -1.258905 1.71684 0.898193 -2.95129 -1.098864 2.494529
1760.0 -0.955335 -0.502709 1.033531 3.127675 -1.126973 2.432164
1770.0 -0.925961 -0.689994 1.16799 3.125019 -1.211389 2.20923
1780.0 -1.297955 -0.471427 0.890549 -2.822102 -1.232568 2.501974
1790.0 -1.153785 -0.110915 1.00745 3.103166 -0.901922 2.467124
1800.0 -1.082337 -0.41211 1.113213 -2.975759 -1.054457 2.506621
1810.0 -0.927979 -0.664528 0.83306 -3.098232 -0.997627 2.428052
1820.0 -1.014229 -0.491593 0.916675 -3.083734 -1.213621 2.453541
1830.0 -1.224998 1.882011 1.091552 -2.097044 -1.253838 1.545388
1840.0 -1.020347 -0.454582 1.00748 -3.066384 -1.175116 2.096638
1850.0 -1.069982 1.918097 0.973154 -3.11115 -1.266736 2.468458
1860.0 -1.176432 -0.714305 0.802826 -3.091761 -1.354282 2.620374
1870.0 -0.925966 -0.696653 1.09843 -3.095711 -1.325741 2.310984
1880.0 -1.458379 -0.774977 1.010254 3.071242 -1.431737 2.368974
1890.0 -0.981151 -0.656761 0.883552 3.139937 -1.23642 2.138948
1900.0 -1.041655 -0.543153 0.88297 -2.873973 -1.142557 2.393191
1910.0 -1.016836 -1.101479 0.700738 -3.064841 -1.32018 2.387046
1920.0 -1.069738 -0.807777 1.089796 3.094468 -1.140661 2.264167
1930.0 -1.197688 1.875045 1.370474 -2.60193 -1.296376 1.819812
1940.0 -1.06345 2.292047 1.314852 -2.443705 -1.550389 1.94763
1950.0 -1.12839 -0.649999 1.062269 3.02598 -1.393792 2.418942
1960.0 -0.887897 2.103966 1.034106 3.069078 -1.294179 2.579661
1970.0 -1.130498 1.996544 1.047084 2.922808 -1.345802 2.667989
1980.0 -1.10826 -1.14951 1.112258 -2.887905 -1.081141 2.384647
1990.0 -1.160007 1.803118 0.981126 -2.947964 -1.101048 2.358202
2000.0 -0.491523 -0.926906 1.033046 2.90947 -1.202659 2.507802
2010.0 -1.057098 -0.497448 0.902145 3.105413 -1.196561 2.340379
2020.0 -1.025764 2.254968 0.969493 3.138129 -1.277465 2.501428
2030.0 -1.80025 -0.628188 0.909357 -3.066329 -1.143326 2.402766
2040.0 -1.254732 1.935298 1.084079 2.855705 -1.318798 2.449846
2050.0 -1.063102 2.196984 1.05262 2.905623 -1.355835 2.405295
2060.0 -1.179402 2.355083 1.042666 -2.918007 -0.96937 2.62797
2070.0 -1.611713 1.72439 1.155492 -2.611494 -1.42004 1.59008
2080.0 -1.026017 -0.9259 1.241766 2.971771 -1.327624 2.368703
2090.0 -1.155164 -0.781917 0.80489 -2.9182 -0.942212 2.539554
2100.0 -1.305547 -0.308733 0.894889 2.862853 -1.366124 2.45138
2110.0 -1.327119 2.361825 0.904739 3.137123 -1.273393 2.607485
2120.0 -1.575254 -0.886296 1.050484 3.098554 -0.932644 2.379514
2130.0 -1.692912 -0.853451 1.099953 -2.962289 -1.064678 2.321312
2140.0 -1.14555 -0.342017 0.9323 2.855167 -1.308228 2.36011
2150.0 -1.284765 -0.42869 0.90267 -2.887292 -1.117682 2.374899
2160.0 -0.868031 2.040573 0.821861 -3.101824 -1.03464 2.500278
2170.0 -1.159216 2.238565 0.93059 3.131587 -1.317056 2.355389
2180.0 -1.182762 -0.152842 1.08368 3.031885 -1.376338 2.271248
2190.0 -1.369075 1.927434 0.950496 -3.060477 -1.125112 2.661949
2200.0 -0.885919 -0.466942 1.149382 -3.075808 -1.069241 2.081482
2210.0 -1.139158 -0.288581 0.681904 -3.134046 -1.265447 2.472746
2220.0 -1.094863 -0.772501 0.889363 -2.880982 -1.081061 2.430026
2230.0 -1.17637 -0.750814 0.873575 -3.117765 -1.155859 2.417865
2240.0 -2.405325 1.560378 1.701529 -2.720149 -1.183719 2.680432
2250.0 -0.971423 -0.718942 1.131403 -2.831617 -1.215467 2.500037
2260.0 -1.055785 -0.653038 1.123684 -2.96941 -0.987333 2.490505
2270.0 -1.145369 -0.656105 1.086409 -3.035618 -0.991583 2.121331
2280.0 -0.99832 -0.738041 1.135338 -3.070846 -1.084491 2.442837
2290.0 -1.334152 -0.801489 0.780349 -2.908909 -1.133742 2.272509
2300.0 -0.828606 -0.758894 0.989176 2.934812 -1.356292 2.398969
2310.0 -0.814111 -0.70881 0.939938 -2.955306 -1.327696 2.300633
2320.0 -1.209841 -0.262819 1.235661 3.025219 -1.549475 2.669719
2330.0 -1.139506 -0.633629 0.840837 -2.753325 -1.095244 2.297087
2340.0 -1.296707 1.802189 1.463229 -2.52729 -1.251092 2.564358
2350.0 -1.59621 2.020071 1.302493 -2.743246 -1.463604 2.97524
2360.0 -1.334615 1.911391 1.247682 -2.942463 -1.125409 2.699197
2370.0 -1.131681 -0.461352 0.949728 3.089606 -1.043076 2.305471
2380.0 -0.994223 -0.86536 0.911712 3.078202 -1.542687 2.121072
2390.0 -1.057608 -0.574666 0.937638 -3.058319 -1.167521 2.448533
