time phi1_2 psi1_2 omega1_2
0.0 -1.344903 -2.960646 3.085636
10.0 -1.109092 2.897824 -2.916962
20.0 -1.243561 -3.128899 -3.067984
30.0 -0.877008 -3.001486 3.136289
40.0 -1.447872 -2.921554 -3.108189
50.0 -1.203944 -2.774678 3.010563
60.0 -1.28012 2.649843 -3.087999
70.0 -1.230111 -3.084684 -3.045227
80.0 -0.715733 1.512877 3.060265
90.0 -1.400063 -2.957151 -3.022935
100.0 -1.258538 1.782631 3.120661
110.0 -1.161034 3.062277 -3.009932
120.0 -1.446567 -2.715312 -3.035756
130.0 -0.922702 1.777805 2.967795
140.0 -1.437478 -2.716837 -3.095473
150.0 -1.150779 1.604641 -3.139637
160.0 -1.149783 -3.042037 -2.925247
170.0 -1.26474 3.119633 3.12414
180.0 -1.034425 1.438219 3.029405
190.0 -1.505509 1.434878 -3.032413
200.0 -0.987666 1.635702 2.89755
210.0 -1.510256 3.076548 -3.064098
220.0 -1.662882 1.402612 -2.951875
230.0 -1.254467 -2.771921 -2.886778
240.0 -1.210774 3.05173 -2.867618
250.0 -1.353121 1.61171 -3.099094
260.0 1.04341 -1.22364 -0.6804
270.0 -1.267109 2.072661 3.11362
280.0 -1.008072 3.131529 -3.035896
290.0 -1.222038 2.837422 -2.980927
300.0 -1.074996 -2.547842 -2.974812
310.0 -1.14984 3.104972 -2.971863
320.0 -1.45306 -2.832846 -2.985133
330.0 -1.587936 2.980186 -2.93501
340.0 -1.254544 -3.08218 -2.90617
350.0 -0.922342 -0.893336 -2.865127
360.0 -1.554728 -2.883758 3.024596
370.0 -1.255028 3.019203 -3.060868
380.0 -1.250039 2.952541 -3.031797
390.0 -1.069853 -3.075287 -3.131084
400.0 -1.513825 3.00845 -2.868436
410.0 -1.331337 -2.925948 -3.136639
420.0 -1.027833 2.698676 -3.04678
430.0 -1.196445 -2.791469 -3.074438
440.0 -1.287803 -2.636152 -3.066992
450.0 -1.417348 2.560293 -2.977236
460.0 -1.320253 3.107526 -2.962504
470.0 -1.401064 -3.000699 -3.019405
480.0 -1.035131 2.928033 -3.050983
490.0 -1.173859 -3.002984 -3.084766
500.0 -1.23667 -2.842654 -2.811372
510.0 -1.164011 -3.124587 -2.868798
520.0 -1.285538 2.99483 -2.997516
530.0 -1.546084 -2.955259 -3.038746
540.0 -1.086252 3.05463 -3.011853
550.0 -1.36336 2.880545 -3.002733
560.0 -1.097725 3.098753 -2.909833
570.0 -1.490093 -2.902362 -2.88792
580.0 -1.434119 -2.956454 3.123286
590.0 -1.213918 -2.867237 -2.924119
600.0 -1.318276 -3.098263 -3.123918
610.0 -1.196194 -2.949154 -3.083487
620.0 -1.186346 -3.007132 -2.955773
630.0 -1.099023 -3.064396 -3.011338
640.0 -1.30189 2.904269 -2.729113
650.0 -1.472104 -2.866049 -3.134219
660.0 -1.349181 -2.715528 -2.773472
670.0 -0.973116 -1.25653 -3.003174
680.0 -1.167663 -3.056719 -2.865607
690.0 -0.898154 -3.060276 -2.986117
700.0 -1.525454 1.847109 -2.954234
710.0 -1.073544 3.064741 -3.037454
720.0 -1.45302 1.883406 -3.117813
730.0 -1.144433 -2.839146 0.841756
740.0 -1.297349 -2.930535 1.213597
750.0 -2.097774 1.364295 -2.855618
760.0 -1.237723 2.997289 -3.125564
770.0 -1.218251 2.958348 -2.867661
780.0 -1.359406 -2.830682 -2.975171
790.0 -1.572463 -3.041987 -2.882916
800.0 -0.971135 -1.112882 -2.891681
810.0 -1.084707 -1.337602 -2.799465
820.0 -1.014515 -3.040809 -3.070007
830.0 -1.141125 -2.841082 -2.794716
840.0 -1.342167 -3.024984 3.02718
850.0 -1.163292 -2.909986 -3.079452
860.0 -1.432141 -3.020236 3.124709
870.0 -1.467898 -2.28041 -2.785959
880.0 -1.346412 -2.747371 -1.194824
890.0 -1.117916 -3.055195 1.378246
900.0 -1.457534 -2.816888 1.194495
910.0 -1.538065 -1.571955 -1.217593
920.0 -1.308985 3.083592 -2.79152
930.0 -1.270883 3.010801 2.942124
940.0 -1.200816 2.814093 -3.017292
950.0 -1.320296 3.035396 -2.981638
960.0 -1.660459 -3.064523 -3.049221
970.0 -1.096168 3.033353 -2.743277
980.0 -1.485675 -3.125546 -2.993325
990.0 -1.158594 -3.117924 -2.996645
1000.0 -0.986479 -2.88559 -3.009797
1010.0 -1.27214 -2.987501 -3.042387
1020.0 -1.194799 2.308139 -2.906819
1030.0 -1.502757 -2.953986 -3.026122
1040.0 -1.299706 2.840447 -3.134136
1050.0 -0.902605 2.894245 -3.055731
1060.0 -1.358343 2.749363 -3.02039
1070.0 -1.504948 -3.124537 -2.750029
1080.0 -0.898148 1.739335 -3.056914
1090.0 -1.402523 2.786955 0.877972
1100.0 -1.166827 -2.705281 1.123775
1110.0 -1.149429 2.937878 -3.017828
1120.0 -1.57656 3.119966 -2.645981
1130.0 -1.343486 3.038147 -3.11063
1140.0 -1.324733 2.979041 -2.753305
1150.0 -1.203824 3.101643 1.167238
1160.0 -1.087919 1.656404 3.114512
1170.0 -1.178098 1.847282 -2.997245
1180.0 -1.600229 -2.879191 1.085133
1190.0 -0.990101 -2.772414 -2.838066
1200.0 -1.354806 1.450899 -2.537591
1210.0 -1.06971 1.647231 -3.115378
1220.0 -1.27728 3.044896 -2.964551
1230.0 -1.40871 3.041161 -2.85322
1240.0 -1.423119 3.088415 1.264254
1250.0 -1.263059 2.881506 -2.935807
1260.0 -1.320508 -2.977729 3.027897
1270.0 -1.289073 2.790404 2.945156
1280.0 -1.498092 -2.934951 -2.910169
1290.0 -0.64447 3.075049 -2.798577
1300.0 -1.693141 -2.787518 -3.056484
1310.0 -1.012409 3.021497 3.055139
1320.0 -1.185601 -2.861172 -3.141409
1330.0 -1.409266 3.092769 -3.104225
1340.0 -1.280578 -3.138346 -2.867117
1350.0 -1.433761 3.105981 -3.060998
1360.0 -1.414931 2.561586 -3.013323
1370.0 -1.33793 -3.136212 -2.680236
1380.0 -1.38845 -2.894337 3.012325
1390.0 -1.355642 -2.951761 -2.964501
1400.0 -1.213284 3.051981 3.140302
1410.0 -0.975539 -3.004064 2.790139
1420.0 -1.21838 -3.129257 -3.003952
1430.0 -1.254796 2.977695 -2.945015
1440.0 -1.242737 -3.079117 -3.117669
1450.0 -1.711877 3.094971 1.127476
1460.0 -1.528443 3.020041 0.994536
1470.0 -1.349758 1.481529 -2.971235
1480.0 -1.494338 1.433945 -3.132903
1490.0 -1.513882 -2.852882 -3.094539
1500.0 -1.337413 -2.949821 -3.046761
1510.0 -1.133371 3.063269 -3.104513
1520.0 -1.10638 -2.831407 3.108808
1530.0 -1.213994 3.014323 -3.012838
1540.0 -1.218763 2.79819 -2.855804
1550.0 -1.22391 2.880955 3.132353
1560.0 -1.438841 1.765492 -2.866999
1570.0 -1.376219 2.950248 -3.04956
1580.0 -1.105784 2.960596 3.06628
1590.0 -0.845479 2.78895 -1.045802
1600.0 -0.780485 -2.725054 -0.902661
1610.0 -1.173916 -2.285537 -0.855314
1620.0 -1.322155 2.865034 -1.253333
1630.0 -1.282271 -3.023703 3.09771
1640.0 -1.530522 2.645708 -2.964573
1650.0 -1.312876 2.836367 -2.906338
1660.0 -1.455452 -2.936063 -2.949893
1670.0 -1.220336 3.12796 -2.918283
1680.0 -1.325842 3.017125 -2.923705
1690.0 -1.144463 2.990364 -2.850963
1700.0 -1.283079 -2.941167 -2.887438
1710.0 -1.142728 -3.076699 -0.934701
1720.0 -1.312038 -3.009766 -3.105792
1730.0 -1.336277 -2.808881 2.971902
1740.0 -1.215419 -2.959586 -3.0597
1750.0 -1.631887 3.079059 -2.925853
1760.0 -1.66051 3.076214 -2.971462
1770.0 -0.842688 -2.835283 -2.874349
1780.0 -1.290346 -3.092649 3.113311
1790.0 -1.324623 -3.069663 -2.943389
1800.0 -1.086386 -2.953014 3.095174
1810.0 -1.231157 -2.75082 -2.978747
1820.0 -1.027659 -3.008277 -2.938577
1830.0 -0.907866 -3.064585 -3.072036
1840.0 -0.882201 -3.029015 -3.04001
1850.0 -1.091429 -3.018263 -3.124862
1860.0 -1.504296 -2.758379 -2.907799
1870.0 -0.706436 2.505672 -3.050179
1880.0 -1.369385 3.137883 -3.076209
1890.0 -1.058576 -3.106462 -2.855494
1900.0 -1.33311 -3.007268 -3.134763
1910.0 -1.217213 2.956209 3.101099
1920.0 -1.232496 2.894837 0.946724
1930.0 -2.003014 -2.782934 -3.018815
