time phi1_2 psi1_2 omega1_2
0.0 1.148191 -2.918629 -2.763702
10.0 0.893354 3.124043 -2.728568
20.0 1.078918 -2.509784 3.028987
30.0 1.184754 -2.778033 -2.847331
40.0 1.372031 -3.015639 -2.802388
50.0 0.863599 2.401155 -2.77435
60.0 1.210628 -3.061423 -2.678143
70.0 0.785461 3.020146 -2.91378
80.0 0.964337 -3.015024 3.13704
90.0 0.808613 -2.830291 -3.136468
100.0 1.029896 -2.827965 -3.053996
110.0 0.909595 -2.932474 -2.988371
120.0 0.790515 2.943836 3.051561
130.0 0.987269 -3.013483 -3.126959
140.0 0.898483 2.980959 -2.902695
150.0 1.078005 -2.856167 -2.802431
160.0 1.143173 -2.969905 -3.028735
170.0 0.82355 2.766366 -2.984996
180.0 1.131311 -3.003785 -3.049755
190.0 0.954732 2.93016 -2.768511
200.0 0.925408 3.048006 -2.798838
210.0 0.963931 2.591022 -2.726928
220.0 1.063389 -2.598764 -3.07624
230.0 1.171413 -3.12316 -2.75898
240.0 0.827512 -3.040167 -2.783165
250.0 1.114325 -2.883492 -3.13983
260.0 0.965978 -2.869343 -3.014639
270.0 1.20313 -2.623204 -2.961657
280.0 0.887742 -3.098644 -2.949212
290.0 1.193865 -2.917596 -3.018383
300.0 1.011087 -3.105013 -2.755136
310.0 1.041568 -2.697133 3.092472
320.0 1.082014 -3.060818 -2.948877
330.0 1.038913 -3.137715 3.136737
340.0 1.066858 -2.614533 3.023586
350.0 0.817373 -2.77189 3.046655
360.0 1.354027 3.095764 -3.085723
370.0 1.009986 -2.807775 -3.063512
380.0 1.326034 -2.994215 3.138567
390.0 1.227954 3.124991 -2.803171
400.0 1.255424 -2.84878 2.845808
410.0 0.903206 -3.038125 -2.992762
420.0 1.185184 -2.732974 -3.087611
430.0 0.895503 -3.003957 -2.990912
440.0 1.177613 -3.098299 -2.791723
450.0 1.262141 3.063244 -3.031767
460.0 0.938636 3.034252 -3.02424
470.0 1.082141 1.715393 -2.818867
480.0 1.045416 -2.787542 -2.723478
490.0 1.251827 -2.807017 -2.985572
500.0 0.843664 2.879355 0.745303
510.0 0.912629 3.073089 -2.866539
520.0 1.054691 -2.951079 -2.777284
530.0 0.990267 -3.097178 -3.11332
540.0 1.265946 -2.976589 -2.745085
550.0 0.825353 2.224594 -3.040908
560.0 0.663486 2.870091 -3.036619
570.0 0.839019 2.517247 -3.062907
580.0 0.889687 2.812866 3.136322
590.0 1.076644 2.641259 -3.075732
600.0 1.101296 2.177666 -3.078929
610.0 1.158677 3.025835 -2.995231
620.0 1.31731 -2.944284 -3.104989
630.0 1.117399 2.997673 -3.110051
640.0 0.890321 2.981194 -2.7913
650.0 1.361489 3.00397 3.097942
660.0 1.203152 -3.048483 -2.905561
670.0 1.266235 -2.981668 -2.813595
680.0 0.549092 -2.888451 1.045706
690.0 1.046227 -3.092968 1.224328
700.0 0.81584 2.691748 -2.939352
710.0 1.046179 -2.877896 -2.964547
720.0 1.099775 -2.631763 -3.132387
730.0 1.155402 -2.751385 -2.607851
740.0 0.757026 -3.094085 0.947272
750.0 0.809447 3.096983 0.967358
760.0 0.805084 -2.978462 0.81489
770.0 0.733729 2.965299 -2.980947
780.0 1.009612 -2.929855 -3.035387
790.0 1.08631 -2.891232 -3.117037
800.0 1.041814 -2.766692 -2.951981
810.0 1.141243 -2.819259 -2.898206
820.0 1.172751 -2.845294 -2.742763
830.0 1.143468 -2.836423 -3.010467
840.0 0.641911 3.029838 -0.984746
850.0 0.743887 3.01567 1.27603
860.0 1.11742 -2.871493 -3.017549
870.0 1.147029 3.106996 2.984402
880.0 1.227457 -2.74425 -1.079561
890.0 1.148399 -3.114878 -0.804927
900.0 0.913485 3.084104 -0.699178
910.0 1.301749 -3.030187 3.126496
920.0 0.728361 3.124827 -2.87181
930.0 0.927927 2.789232 -3.104716
940.0 0.882796 2.984169 1.117768
950.0 1.280038 -2.755006 -3.014107
960.0 1.047476 -2.75539 -1.199948
970.0 1.203653 -3.017997 -1.144612
980.0 0.799411 -2.129556 -1.086187
990.0 1.246405 3.034507 -0.836398
1000.0 1.040727 -3.019308 -0.793731
1010.0 1.568299 -2.760872 -1.100124
1020.0 0.906726 -2.933269 -3.12423
1030.0 0.819027 -2.769958 -0.92848
1040.0 1.098269 -3.127234 -1.026202
1050.0 1.161573 -3.025197 -3.117891
1060.0 1.246018 -2.671577 1.404551
1070.0 1.143185 1.837379 -2.960989
1080.0 0.910097 -2.738066 -0.739675
1090.0 1.301045 -2.811012 -1.137242
1100.0 1.17012 3.00684 -2.953244
1110.0 1.03269 -2.978909 -2.902373
1120.0 0.986476 -2.612923 1.250853
1130.0 0.959104 -2.82538 -2.875
1140.0 1.212924 -2.335617 -0.648231
1150.0 1.119299 -2.97401 3.104273
1160.0 0.7246 -1.749844 -0.768279
1170.0 0.86737 3.136752 -3.071623
1180.0 1.161706 -2.981493 -3.00792
1190.0 1.027497 -2.960007 -2.951668
1200.0 1.04483 -2.769412 3.094104
1210.0 1.208256 -2.756361 -2.985204
1220.0 1.225779 -3.058491 -2.744289
1230.0 1.013684 3.073668 -3.010475
1240.0 1.161121 -2.786381 2.950033
1250.0 1.071439 2.849351 -3.004245
1260.0 1.193768 -2.954956 -2.852372
1270.0 1.286198 3.131374 -2.851579
1280.0 1.313312 -3.032048 0.856212
1290.0 0.979737 -3.141469 -3.02599
1300.0 0.699132 2.694598 -2.808505
1310.0 1.064539 -2.807789 1.285591
1320.0 1.312434 2.552157 -3.073271
1330.0 1.079813 -2.818442 1.221701
1340.0 1.135506 -2.817276 -3.076722
1350.0 1.153157 -3.140431 1.237719
1360.0 1.052871 2.767487 -2.92061
1370.0 1.229998 -3.085674 1.22191
1380.0 0.998472 -2.543323 -3.005687
1390.0 1.06742 -2.933336 -2.958411
1400.0 1.26642 -2.972906 -3.020145
1410.0 1.15586 -2.993554 -2.684975
1420.0 1.032677 -3.029167 -0.9237
1430.0 1.037231 -2.397033 1.095599
1440.0 1.096081 -2.735965 -2.909384
1450.0 1.287886 -2.728529 -2.645098
1460.0 1.316721 -2.634394 -2.592322
