time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
0.0 -1.186861 -2.966911 -2.949738 -1.105635 -2.066083
10.0 -1.439122 -3.072607 -3.039723 -0.835224 -2.383512
20.0 -1.181156 -2.87 -2.693514 -1.004139 -2.002722
30.0 -1.436298 -2.814921 -3.003391 -1.38878 -2.478486
40.0 -1.120981 2.830481 -3.034694 -1.709069 -2.895889
50.0 -1.303939 3.12099 3.040268 -1.574344 -2.801489
60.0 -1.850301 -2.82755 -2.975804 -1.521909 -3.039853
70.0 -1.194014 3.07908 3.076491 -1.083242 -2.351193
80.0 -0.929925 -2.833748 -3.065935 -1.16832 -2.434544
90.0 -1.266664 -3.122576 -2.742266 -1.080375 -2.280875
100.0 -1.188955 -3.137758 -3.031686 -1.232617 -2.55974
110.0 -1.239833 -2.773117 -3.056643 -1.528839 -2.836926
120.0 -0.874166 -2.839803 3.068531 -1.109139 -2.108798
130.0 -1.249622 -3.058303 -3.038432 -1.34441 -2.544732
140.0 -1.398394 3.004191 -3.092549 -1.439039 -2.555266
150.0 -1.301644 3.009003 -3.119816 -1.476229 -2.878952
160.0 -1.42075 2.753048 -3.063042 -1.420328 -3.130594
170.0 -1.0955 2.899763 1.152784 -1.436857 -2.012701
180.0 -1.341899 3.011369 -2.958545 -1.37789 -2.830892
190.0 -1.140716 3.132207 -3.001128 -1.491597 -2.499557
200.0 -1.023225 -3.083399 -3.067077 -1.419598 -2.895603
210.0 -1.146586 -3.088317 2.916126 -1.078182 -2.349793
220.0 -1.051134 -2.939774 -3.032635 -0.973559 -2.653844
230.0 -1.181538 -3.03066 -2.898605 -1.398914 -1.767401
240.0 -1.537023 -2.803847 3.125452 -1.385347 -2.728901
250.0 -1.057057 -2.944598 -3.088937 -1.265684 -2.399181
260.0 -1.25657 -1.77977 -0.665029 -1.177527 -1.671918
270.0 -1.259569 2.700822 -3.065761 -1.012146 -2.255988
280.0 -1.250266 -3.052761 3.141143 -1.355952 -1.898541
290.0 -1.029331 2.615614 -2.906821 -0.783113 -2.376128
300.0 -1.289584 -2.705385 -3.077355 -1.112748 -2.499837
310.0 -1.178766 -1.483644 -0.830641 -1.079672 -2.258621
320.0 -1.314712 -2.81968 -2.860366 -1.005311 -2.234954
330.0 -1.242556 3.097279 -3.011959 -1.52934 3.086484
340.0 -1.529973 3.11219 -2.654732 -1.733261 -2.975889
350.0 -1.621147 2.868669 -2.954861 -1.101746 -2.158471
360.0 -1.558043 -2.778896 -2.853958 -1.593313 -2.807677
370.0 -1.471588 -3.118774 -2.877672 -1.31736 -2.846986
380.0 -1.587463 -2.829588 -2.968486 -1.321109 -1.972508
390.0 -1.184686 2.684251 3.093723 -1.227515 -2.652566
400.0 -1.217758 -3.001503 -3.044041 -1.08879 -2.468274
410.0 -1.447137 -2.377627 3.068946 -1.206742 -2.746666
420.0 -1.538124 3.140103 -3.061092 -0.834771 -2.188574
430.0 -1.151419 3.05177 1.151977 -1.30814 -2.29078
440.0 -0.932618 -2.851248 -2.800368 -0.976974 -2.332012
450.0 -0.994409 1.877548 -2.932474 -1.515486 -3.069354
460.0 -1.193811 2.076907 -3.105391 -1.454586 -2.993073
470.0 -1.280885 -2.992701 -2.972659 -0.953063 -2.098807
480.0 -1.033669 -2.796265 -2.650776 -1.153587 -2.44282
490.0 -1.687356 1.203211 -2.744347 -1.436091 -1.81767
500.0 -1.287008 3.088256 -2.900682 -1.308752 -2.246545
510.0 -0.966084 3.021828 -3.086927 -1.102842 -1.938503
520.0 -0.889687 -3.027252 -2.991239 -1.137132 -2.474191
530.0 -1.189695 3.120782 -2.968339 -1.395055 -2.753104
540.0 -1.013084 -2.638321 2.903039 -1.421935 -2.836207
550.0 -0.94691 2.940591 -2.861746 -1.405153 -2.808067
560.0 -1.482817 -3.007654 -2.950887 -1.368116 -2.920774
570.0 -1.612695 -3.022428 -2.945028 -0.938023 -2.133547
580.0 -1.383283 -2.796808 -2.894508 -0.91325 -2.602451
590.0 -0.952232 -3.057776 3.078072 -1.283931 -2.724323
600.0 -1.310829 -2.952763 -3.038342 -1.044522 -2.203367
