time phi1_2 psi1_2
0.0 1.217199 -2.777344
10.0 0.936554 -3.132847
20.0 1.428831 -2.950815
30.0 1.199307 -2.800529
40.0 1.139047 -2.534197
50.0 0.779156 -2.82772
60.0 1.170158 -2.752638
70.0 1.103292 -2.747817
80.0 1.524092 -2.547579
90.0 0.915015 -2.817656
100.0 1.299617 -3.072164
110.0 0.996132 -2.914963
120.0 1.066286 -3.008063
130.0 1.08926 -2.899413
140.0 0.964294 -2.886096
150.0 1.081858 -2.875449
160.0 0.861716 -2.748943
170.0 1.550297 -2.873972
180.0 0.926904 -3.07695
190.0 1.050051 -2.827911
200.0 1.301349 -2.66029
210.0 0.97861 -2.803771
220.0 1.439494 -3.070337
230.0 0.964599 -2.972209
240.0 0.977984 -2.924701
250.0 1.108877 -2.875706
260.0 1.173615 -2.915494
270.0 1.535803 -3.068028
280.0 0.997905 -2.760557
290.0 1.126009 -2.78698
300.0 0.99405 2.615815
310.0 0.827754 -2.868096
320.0 1.431525 -2.807954
330.0 1.101621 -2.949359
340.0 1.151296 -2.696021
350.0 1.296165 -2.90535
360.0 1.431475 -2.817435
370.0 1.342633 -3.102966
380.0 1.171631 -2.857487
390.0 0.690997 -2.88164
400.0 1.382647 -2.95917
410.0 1.155736 -2.847709
420.0 0.913965 3.102674
430.0 1.043301 -2.930202
440.0 0.927237 -2.884576
450.0 1.071319 -3.036388
460.0 1.290902 -3.014555
470.0 1.319211 -2.974012
480.0 1.07413 -2.618771
490.0 1.393423 2.908528
500.0 1.526241 -2.721421
510.0 0.917501 -2.685127
520.0 1.201661 -2.732265
530.0 0.965099 -2.870159
540.0 1.348775 -2.885559
550.0 0.87801 -2.762865
560.0 0.770643 -3.059591
570.0 0.896518 -3.074906
580.0 0.74495 -2.920251
590.0 0.79596 -2.920369
600.0 0.724803 -2.969262
610.0 1.421458 -2.529915
620.0 1.326656 -3.115222
630.0 1.503631 -2.928233
640.0 1.677851 -2.835943
650.0 0.987406 -2.99798
660.0 1.740133 -2.837706
670.0 1.445018 -2.573953
680.0 1.157548 -2.665194
690.0 1.310061 -2.63122
700.0 0.922659 -2.736918
710.0 1.42525 -2.914575
720.0 1.150327 -2.982329
730.0 0.933697 3.140944
740.0 1.187939 -2.703149
750.0 1.317363 -2.788181
760.0 1.086234 -3.074389
770.0 1.502591 -2.691708
780.0 1.293566 -3.107302
790.0 0.94619 -2.986326
800.0 0.980345 -2.700716
810.0 1.402369 -2.968729
820.0 0.891317 -2.84176
830.0 1.127888 -2.954479
840.0 1.615589 -2.74018
850.0 0.95186 3.060564
860.0 1.32684 -2.90442
870.0 1.29408 -2.854096
880.0 1.19396 -2.934754
890.0 1.173105 -3.10631
900.0 0.791568 -3.089735
910.0 1.339371 -2.918065
920.0 1.028086 -2.860743
930.0 0.998791 2.961711
940.0 0.849564 -2.89908
950.0 1.458174 -2.820482
960.0 1.645652 -3.038948
970.0 1.027339 -2.895101
980.0 1.003887 -2.963781
990.0 0.989735 -2.877809
1000.0 1.357502 -3.048175
1010.0 1.14209 -2.771567
1020.0 1.410271 -2.943287
1030.0 0.893603 -2.652052
1040.0 0.903917 -2.973332
1050.0 0.868181 -3.074688
1060.0 0.875976 -3.072499
1070.0 1.11521 -2.994387
1080.0 1.145602 -2.664554
1090.0 1.012725 -2.972587
1100.0 0.910199 -2.999678
1110.0 0.802883 -2.754281
1120.0 0.973783 -3.002595
1130.0 0.893119 -3.13568
1140.0 0.913412 -2.859039
1150.0 1.294133 -3.084554
1160.0 1.243541 -2.651372
1170.0 1.163787 -2.763875
1180.0 1.223481 -3.034344
1190.0 0.927364 -2.889292
1200.0 1.103872 -2.957842
1210.0 1.296164 2.896513
1220.0 0.992316 -2.855116
1230.0 1.115815 -3.091396
1240.0 1.114795 -2.820676
1250.0 0.951354 -3.106015
1260.0 1.092195 -2.93144
1270.0 1.161341 -2.651946
1280.0 1.467204 -2.52377
1290.0 1.354028 -3.027275
1300.0 1.067431 -2.648777
1310.0 1.173758 -2.912573
1320.0 1.146267 -2.710974
1330.0 1.129354 -3.076771
1340.0 1.390337 -2.830843
1350.0 0.90786 -2.933755
1360.0 1.01157 2.962481
1370.0 1.060022 -3.089879
1380.0 1.039359 3.080445
1390.0 0.93262 -3.025327
1400.0 1.261788 -3.012209
1410.0 0.850239 -3.132544
1420.0 1.041084 -2.788012
1430.0 1.282987 -2.895109
1440.0 0.773104 2.828725
1450.0 1.044516 2.991167
1460.0 1.083495 -2.812139
1470.0 1.742719 -2.835586
1480.0 1.048399 -2.914741
1490.0 1.201776 -3.067302
1500.0 1.242102 -3.109909
1510.0 0.885744 -2.836613
1520.0 0.907617 3.118613
1530.0 1.317521 3.140516
1540.0 0.908571 -2.648399
1550.0 0.805188 -2.984532
1560.0 1.318 -3.137707
1570.0 1.549443 -2.696637
1580.0 0.982528 -2.663899
1590.0 1.414846 -2.983946
1600.0 1.067118 2.88235
1610.0 1.379309 -2.775508
1620.0 1.025738 -3.13626
1630.0 1.225529 -3.004183
1640.0 1.54963 -2.962195
1650.0 0.99524 -3.033164
1660.0 1.47074 -2.690097
1670.0 1.005599 3.015719
1680.0 1.587317 -3.009495
1690.0 1.114489 -2.972674
1700.0 1.600555 -2.956534
1710.0 0.956918 -2.954283
1720.0 1.709479 -3.060745
1730.0 1.157154 3.102735
1740.0 1.157664 -2.56672
1750.0 1.943851 -2.476556
1760.0 1.553764 -2.782626
1770.0 1.672895 -2.866343
1780.0 0.734935 -2.663146
1790.0 0.882668 -3.124638
1800.0 1.108413 -2.908759
1810.0 1.175788 -2.847625
1820.0 1.503193 -2.861375
1830.0 0.916526 -2.809742
1840.0 1.714486 -2.768081
1850.0 1.254164 -2.872251
1860.0 1.238151 -2.969342
1870.0 0.973315 3.013627
1880.0 1.180379 -2.987947
1890.0 1.595638 -2.939237
1900.0 1.178222 -3.083601
1910.0 1.273753 -2.990215
1920.0 1.0621 -2.867385
1930.0 1.310773 3.138482
1940.0 1.271535 -2.806714
1950.0 1.056385 -2.819317
1960.0 1.316528 -2.782576
1970.0 1.140605 -3.004364
