time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
0.0 1.115602 -3.039123 -1.115853 -1.231935 -2.538103
10.0 0.851971 -1.879682 -0.999864 -1.341817 -2.828466
20.0 1.274306 -2.692232 -0.901408 -0.948251 -2.497352
30.0 1.31651 -2.762129 -1.14465 -1.215183 -1.940188
40.0 0.999345 2.703823 -0.724725 -1.311448 -2.742
50.0 1.203429 -2.499627 -0.904917 -1.441395 2.996205
60.0 1.058687 2.693201 -0.831913 -1.112341 -2.449444
70.0 1.066722 2.638879 -1.039612 -1.254321 -2.376567
80.0 1.150135 2.920114 1.109118 -1.207114 -2.4099
90.0 0.756318 -3.074606 1.170609 -1.122003 -2.331028
100.0 0.991241 -2.431325 -0.953067 -1.328276 -3.055117
110.0 1.152749 -2.680589 0.984599 -1.198926 -2.499549
120.0 1.161542 -2.857911 -1.03979 -1.164254 -2.612239
130.0 1.128547 -2.757866 -0.783268 -1.253513 -2.507206
140.0 1.332122 -2.462098 -0.970436 -1.027235 -1.972135
150.0 0.99902 -2.999309 0.916917 -1.253359 -2.185715
160.0 1.31437 -3.01576 -0.770757 -0.89864 -2.305624
170.0 1.335119 -2.691306 -0.790893 -1.012837 -2.366531
180.0 1.318715 -2.776062 -0.767209 -1.28329 -2.588995
190.0 0.481146 2.868216 -1.06685 -1.544194 -3.079529
200.0 0.887802 -2.539104 -0.979912 -1.195619 -2.434457
210.0 0.801833 -2.69361 -1.14862 -1.041326 -2.498825
220.0 1.031962 -3.112348 -0.965476 -1.201714 -2.595953
230.0 1.095141 -1.323526 -0.83128 0.589698 -2.10372
240.0 0.078743 -3.076746 0.992567 -1.035682 -2.570529
250.0 0.929215 2.999863 0.910423 -1.284861 -2.431762
260.0 0.853559 -3.032484 0.873324 -1.138971 -2.143658
270.0 1.222032 -2.624376 -0.669729 -1.527698 3.130369
280.0 0.794867 -2.861389 1.255561 -1.412717 -2.294156
290.0 1.057506 -2.789344 -0.87962 -1.123743 -2.704924
300.0 1.205199 -2.628252 0.987174 -1.355892 -2.345002
310.0 1.266683 -2.480482 1.015326 -1.203739 -2.337469
320.0 1.269223 -2.700865 -0.768319 -1.059084 -2.636162
330.0 1.105501 3.099093 -0.986455 -1.44538 -2.611162
340.0 1.17899 -2.693589 -0.93679 -1.44803 -2.925052
350.0 1.19553 -2.631879 1.172246 -0.96584 -2.159172
360.0 1.002119 -2.717279 -1.073957 -1.467913 -3.041095
370.0 0.98661 -3.010118 -2.750564 -1.289335 -2.389885
380.0 1.29168 -3.020013 -0.4743 -1.734089 -3.026773
390.0 -0.740152 2.791234 -2.979179 -1.107027 -1.866586
400.0 1.095845 -2.589719 1.138582 -0.793202 -2.618494
410.0 1.125331 -2.834943 -2.96414 -0.983128 -2.099764
420.0 1.141045 -3.002474 -3.048593 -1.223098 -2.528053
430.0 1.120354 -2.831992 0.941924 -1.03051 -2.890278
440.0 0.96427 -2.2011 1.0788 -1.027841 -2.550499
450.0 1.072109 -2.965545 -2.920225 -1.59302 3.086945
460.0 0.906275 3.015024 -3.030686 -1.283896 -2.752478
470.0 1.182014 -3.016342 -2.98434 -1.614741 -3.008311
480.0 1.189135 3.014851 -2.814972 -1.079848 -1.998826
490.0 1.174312 3.045703 -2.629673 -1.034639 -2.097564
500.0 1.071941 -2.567454 1.234898 -0.871572 -2.397899
510.0 1.06613 -2.399205 1.031482 -0.722128 -2.545441
520.0 1.223477 -2.954618 -2.986807 -1.484122 -2.953647
530.0 1.190892 -2.801082 1.076249 -1.558592 -2.924974
540.0 1.101535 -2.994734 -3.059037 -1.615608 -3.117182
550.0 1.224822 -2.364583 2.963591 -1.446864 -1.882571
560.0 1.273007 -2.74811 -2.987384 -1.202095 -2.358838
570.0 1.316887 -2.746412 1.095549 -1.145856 -2.62448
580.0 1.120649 -3.023669 -3.015273 -1.234434 -2.192894
590.0 1.066948 -2.835958 -2.952815 -1.480167 -3.078569
600.0 1.383344 -2.936088 -3.125151 -1.553264 3.035168
610.0 0.809532 -2.712008 -3.036009 -1.24973 -3.017539
620.0 1.224644 -3.016319 -3.07095 -0.950419 -2.309004
